id,name_kor,description_kor,elements,partnerSkill_name,partnerSkill_describe,partnerSkill_needItem,partnerSkill_needItemTechLevel,partnerSkill_level,stats_size,stats_rarity,stats_health,stats_food,stats_meleeAttack,stats_attack,stats_defense,stats_workSpeed,stats_support,stats_captureRateCorrect,stats_maleProbability,stats_combiRank,stats_goldCoin,stats_egg,stats_code,movement_slowWalkSpeed,movement_walkSpeed,movement_runSpeed,movement_rideSprintSpeed,movement_transportSpeed,level60_health,level60_attack,level60_defense,activeSkills,activeSkills_count,passiveSkills,passiveSkills_count,drops,drops_count,workSuitabilities,workSuitabilities_count,tribes,tribes_count,spawners,spawners_count
9,불꽃밤비,야생 불꽃밤비은(는) 놀라울 정도로 건강을 잘 지킨다. 하루에 하나씩 가지를 태워 만든 숯을 먹는 것이 영원한 건강의 비결이라고 한다.,화염 속성,작은 불씨,보유하고 있는 동안 화염 속성 팰의 공격력이 증가한다.,,0.0,1.0,S,2.0,75.0,225.0,100.0,70.0,75.0,100.0,100.0,1.1,50.0,1155.0,2950.0,열기 나는 알,FlameBambi,70.0,100.0,400.0,550.0,-1.0,3262 – 3993,441 – 543,415 – 525,"파이어 샷(화염 속성, 30파워, 2초) | 파워 샷(무속성, 35파워, 4초) | 스피릿 파이어(화염 속성, 45파워, 7초) | 불화살(화염 속성, 55파워, 10초) | 화염 폭풍(화염 속성, 80파워, 18초) | 인페르노(화염 속성, 120파워, 40초) | 화염구(화염 속성, 150파워, 55초)",7.0,,0.0,"발화 기관(2–3, 100%) | 가죽(1, 100%)",2,불 피우기(LV.1),1.0,무리의 우두머리 불꽃밤비 | 불꽃밤비,2.0,"불꽃밤비(Lv. 2–5, PvP_21_1_1) | 무리의 우두머리 불꽃밤비(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴) | 불꽃밤비(Lv. 6–9, 구릉 동굴, 외딴 섬의 동굴) | 불꽃밤비(Lv. 9–11, 3_4_volcano_1)",4.0
10,펭키,날개가 완전히 퇴화해 날 수 없다. 대신 유전자에 새겨진 하늘을 향한 미련이 있어 어떻게든 다시 날아오르려고 한다.,물 속성|얼음 속성,펭키 발사기,발동하면 로켓 발사기을(를) 장착하여 펭키을(를) 탄환 삼아 발사한다. 착탄하여 폭발하면 펭키이(가) 빈사 상태가 된다.,기술17,17.0,1.0,XS,1.0,70.0,150.0,70.0,75.0,70.0,100.0,100.0,0.9,50.0,1350.0,1080.0,축축한 알,Penguin,30.0,60.0,500.0,650.0,265.0,3100 – 3782,465 – 575,391 – 493,"얼음 미사일(얼음 속성, 30파워, 3초) | 워터 제트(물 속성, 30파워, 2초) | 아쿠아 샷(물 속성, 40파워, 4초) | 얼음 칼날(얼음 속성, 55파워, 10초) | 빙산(얼음 속성, 70파워, 15초) | 눈보라 스파이크(얼음 속성, 130파워, 45초) | 하이드로 스트림(물 속성, 150파워, 55초)",7.0,,0.0,"빙결 기관(1–2, 100%) | 팰의 체액(1, 100%)",2,관개(LV.1) | 수작업(LV.1) | 냉각(LV.1) | 운반(LV.1),4.0,과식한 펭키 | 펭키,2.0,"펭키(Lv. 10–12, World Map 311,-13) | 펭키(Lv. 3–6, 1_3_plain_kitsunbi) | 펭키(Lv. 2–4, 1_3_water) | 펭키(Lv. 9–12, 1_12_plain_BossTower) | 펭키(Lv. 30–34, snow_5_2_SnowGrass) | 과식한 펭키(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴)",6.0
10B,뎅키,날개가 완전히 퇴화해 날 수 없다. 하늘을 향한 미련은 어느덧 질투로 변화하여 하늘을 나는 모든 것을 격추할 전기의 힘을 얻게 되었다!,물 속성|번개 속성,뎅키 발사기,발동하면 로켓 발사기을(를) 장착하여 뎅키을(를) 탄환 삼아 발사한다. 착탄하여 폭발하면 뎅키이(가) 빈사 상태가 된다.,기술39,39.0,1.0,XS,2.0,70.0,150.0,100.0,80.0,70.0,100.0,100.0,0.9,50.0,1310.0,1290.0,축축한 알,Penguin_Electric,30.0,60.0,500.0,650.0,265.0,3100 – 3782,490 – 607,391 – 493,Lv1 번개 창 (위력:30) | Lv15 버블 샷 (위력:65),2.0,,0.0,발전 기관 x1–2 (100%) | 팰의 체액 x1 (100%),2,관개 LV.1 | 발전 LV.2 | 수작업 LV.1 | 운반 LV.1,4.0,과음한 뎅키 (Tribe Boss) | 뎅키 (Tribe Normal),2.0,Lv16–27 커다란 낚시터 Medium 9.96%,1.0
11,펭킹,"사실 [펭키](https://paldb.cc/ko/Pengullet) 와(과) 아무 연관도 없는 종.
멋대로 상전 대접을 받은 터라
일단 열심히 뻗대고 보고 있다.",물|얼음,,,,,,,,,,,,,,,,,,,,,,,,,,3912 – 4838,563 – 702,513 – 652,,,,,,0,,,,,,
11B,펭키드,"수중 사냥에 도움이 되도록 전기의 힘을 얻어 색이 변화했으며
그 결과 [펭키](https://paldb.cc/ko/Pengullet) 의 충성을 잃고 말았다.
그러나 어째서인지는 몰라도
이번에는 [뎅키](https://paldb.cc/ko/Pengullet_Lux) 의 충성을 얻게 되었다.",물|번개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
12,찌릿도치,"충격을 받으면 모았던 전기를 방출한다.
그 전압은 1,000만 볼트가 넘는다.
던지면 어설픈 중화기보다 더 위험하다.",번개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
12B,코치도치,"충격을 받으면 모았던 냉기를 방출한다.
방사상에 퍼진 냉기는 대기를 꽁꽁 얼려
습격해온 상대의 몸을 꿰뚫는다.",얼음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
13,초롱이,초롱이의 설명,풀|땅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13B,초롱이,초롱이의 설명,풀|땅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,미호,미호의 설명,무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,아테노울,아테노울의 설명,어둠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,차코리,차코리의 설명,물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,뚱코알라,뚱코알라의 설명,어둠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,밀피,밀피의 설명,무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
