pal_index,pal_name,pal_description,is_boss,is_tower_boss,element_1,element_2,item_drop_1,item_drop_2,partner_skill_title,partner_skill_description,work_suitability,stats_hp,stats_melee_attack,stats_shot_attack,stats_defense,stats_support,stats_stamina,stats_walk_speed,stats_run_speed,stats_ride_sprint_speed,stats_food_amount,stats_rarity,stats_price,male_probability,combi_rank,active_skills
-1,Empress of the Hive Elizabee,Missing...,True,False,Grass,,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 5, 'max_drop': 5, 'item_name': 'Honey'}","While fighting together, stats will increase the more Beegarde are in your team.","While fighting together, stats will increase the more Beegarde are in your team.","Seeding(Lv.2), Handcraft(Lv.2), Collection(Lv.2), Deforest(Lv.1), Product Medicine(Lv.2)",90,100,105,100,100,100,250,450,550,7,8,6830,10,330,Air Cannon (Lv.1 | Pwr.25 | CD.2s) | Wind Cutter (Lv.7 | Pwr.30 | CD.2s) | Poison Blast (Lv.15 | Pwr.30 | CD.2s) | Spinning Lance (Lv.22 | Pwr.70 | CD.9s) | Grass Tornado (Lv.30 | Pwr.80 | CD.18s) | Spine Vine (Lv.40 | Pwr.95 | CD.25s) | Solar Blast (Lv.50 | Pwr.150 | CD.55s)
-1,Born of the Storm Dazzi,Missing...,True,False,Electric,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 1, 'item_name': 'ElectricOrgan'}","While in team, appears near the player. Follows up player attacks with lightning bolts.","While in team, appears near the player. Follows up player attacks with lightning bolts.","Generate Electricity(Lv.1), Handcraft(Lv.1), Transport(Lv.1)",70,110,80,70,100,100,200,400,550,2,2,1390,20,1210,Air Cannon (Lv.1 | Pwr.25 | CD.2s) | Shockwave (Lv.7 | Pwr.40 | CD.4s) | Acid Rain (Lv.15 | Pwr.80 | CD.18s) | Lightning Streak (Lv.22 | Pwr.75 | CD.16s) | Tri-Lightning (Lv.30 | Pwr.90 | CD.22s) | Lightning Strike (Lv.40 | Pwr.120 | CD.40s) | Lightning Bolt (Lv.50 | Pwr.150 | CD.55s)
-1,Wings of Inferno Ragnahawk,Missing...,True,False,Fire,,"{'drop_rate': 100, 'min_drop': 4, 'max_drop': 6, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 5, 'max_drop': 7, 'item_name': 'FireOrgan'}",Can be ridden as an flying mount. Applies Fire damage to the player's attacks while mounted.,Can be ridden as an flying mount. Applies Fire damage to the player's attacks while mounted.,"Emit Flame(Lv.3), Transport(Lv.3)",95,100,105,120,100,150,200,800,1400,7,7,6720,50,380,Air Cannon (Lv.1 | Pwr.25 | CD.2s) | Spirit Fire (Lv.7 | Pwr.45 | CD.7s) | Flare Arrow (Lv.15 | Pwr.55 | CD.10s) | Sand Tornado (Lv.22 | Pwr.80 | CD.18s) | Flare Storm (Lv.30 | Pwr.80 | CD.18s) | Ignis Breath (Lv.40 | Pwr.70 | CD.15s) | Fire Ball (Lv.50 | Pwr.150 | CD.55s)
-1,Vagrant Warrior Bushi,Missing...,True,False,Fire,,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'Bone'}","When activated, attacks targeted enemy with a powerful Iaigiri.","When activated, attacks targeted enemy with a powerful Iaigiri.","Emit Flame(Lv.2), Handcraft(Lv.1), Collection(Lv.1), Deforest(Lv.3), Transport(Lv.2)",80,100,125,80,100,100,160,600,900,4,7,4520,50,640,Ignis Blast (Lv.1 | Pwr.30 | CD.2s) | Wind Cutter (Lv.7 | Pwr.30 | CD.2s) | Icicle Cutter (Lv.15 | Pwr.55 | CD.10s) | Iaigiri (Lv.22 | Pwr.65 | CD.9s) | Ignis Breath (Lv.30 | Pwr.70 | CD.15s) | Lightning Strike (Lv.40 | Pwr.120 | CD.40s) | Ignis Rage (Lv.50 | Pwr.120 | CD.40s)
-1,Archer of the Sands Robinquill Terra,Missing...,True,False,Grass,Ground,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 50, 'min_drop': 1, 'max_drop': 2, 'item_name': 'WheatSeeds'}","While fighting together, allows you to deal more damage to weak points.","While fighting together, allows you to deal more damage to weak points.","Handcraft(Lv.2), Collection(Lv.2), Deforest(Lv.1), Product Medicine(Lv.1), Transport(Lv.2)",90,100,105,80,100,100,100,600,750,3,6,2150,50,1000,Sand Blast (Lv.1 | Pwr.40 | CD.4s) | Wind Cutter (Lv.7 | Pwr.30 | CD.2s) | Focus Shot (Lv.15 | Pwr.65 | CD.9s) | Stone Blast (Lv.22 | Pwr.55 | CD.10s) | Sand Tornado (Lv.30 | Pwr.80 | CD.18s) | Solar Blast (Lv.40 | Pwr.150 | CD.55s) | Rock Lance (Lv.50 | Pwr.150 | CD.55s)
-1,The Cat's Pajamas Cattiva,Missing...,True,False,Neutral,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 1, 'item_name': 'Berries'}","While in team, Cattiva helps carry supplies, increasing the player's max carrying capacity.","While in team, Cattiva helps carry supplies, increasing the player's max carrying capacity.","Handcraft(Lv.1), Collection(Lv.1), Mining(Lv.1), Transport(Lv.1)",70,70,70,70,100,100,60,400,550,2,1,1000,50,1460,Punch Flurry (Lv.1 | Pwr.40 | CD.1s) | Air Cannon (Lv.7 | Pwr.25 | CD.2s) | Sand Blast (Lv.15 | Pwr.40 | CD.4s) | Power Shot (Lv.22 | Pwr.35 | CD.4s) | Wind Cutter (Lv.30 | Pwr.30 | CD.2s) | Seed Machine Gun (Lv.40 | Pwr.50 | CD.9s) | Pal Blast (Lv.50 | Pwr.150 | CD.55s)
-1,Holy Knight of Legend Paladius,Missing...,True,False,Neutral,,"{'drop_rate': 100, 'min_drop': 4, 'max_drop': 6, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 10, 'max_drop': 10, 'item_name': 'StealIngot'}",Can be ridden. Can triple jump while mounted.,Can be ridden. Can triple jump while mounted.,"Deforest(Lv.2), Mining(Lv.2)",260,110,120,145,100,100,100,800,1400,9,20,8810,50,80,Power Shot (Lv.1 | Pwr.35 | CD.4s) | Ice Missile (Lv.7 | Pwr.30 | CD.3s) | Iceberg (Lv.15 | Pwr.70 | CD.15s) | Power Bomb (Lv.22 | Pwr.70 | CD.15s) | Blizzard Spike (Lv.30 | Pwr.130 | CD.45s) | Spear Thrust (Lv.40 | Pwr.120 | CD.40s) | Pal Blast (Lv.50 | Pwr.150 | CD.55s)
-1,Winds of Spring Broncherry,Missing...,True,False,Grass,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 3, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 2, 'max_drop': 2, 'item_name': 'Meat_SakuraSaurus'}","Can be ridden. While in team, Broncherry helps carry supplies,
increasing the player's max carrying capacity.","Can be ridden. While in team, Broncherry helps carry supplies,
increasing the player's max carrying capacity.",Seeding(Lv.3),120,80,90,100,120,100,75,350,600,7,7,2920,50,860,Wind Cutter (Lv.1 | Pwr.30 | CD.2s) | Sand Blast (Lv.7 | Pwr.40 | CD.4s) | Muscle Slam (Lv.15 | Pwr.80 | CD.12s) | Seed Mine (Lv.22 | Pwr.65 | CD.13s) | Grass Tornado (Lv.30 | Pwr.80 | CD.18s) | Spine Vine (Lv.40 | Pwr.95 | CD.25s) | Solar Blast (Lv.50 | Pwr.150 | CD.55s)
-1,Waves of Summer Broncherry Aqua,Missing...,True,False,Grass,Water,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 2, 'max_drop': 2, 'item_name': 'Meat_SakuraSaurus'}","Can be ridden. While in team, Broncherry Aqua helps carry supplies,
increasing the player's max carrying capacity.","Can be ridden. While in team, Broncherry Aqua helps carry supplies,
increasing the player's max carrying capacity.",Watering(Lv.3),120,80,95,100,120,100,75,350,600,7,8,3110,50,840,Aqua Gun (Lv.1 | Pwr.40 | CD.4s) | Bubble Blast (Lv.7 | Pwr.65 | CD.13s) | Muscle Slam (Lv.15 | Pwr.80 | CD.12s) | Seed Mine (Lv.22 | Pwr.65 | CD.13s) | Spine Vine (Lv.30 | Pwr.95 | CD.25s) | Aqua Burst (Lv.40 | Pwr.100 | CD.30s) | Hydro Laser (Lv.50 | Pwr.150 | CD.55s)
-1,en_Text en_text,Missing...,True,False,Dark,,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 3, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 4, 'max_drop': 5, 'item_name': 'Venom'}",This Pal is under investigation.,This Pal is under investigation.,"Collection(Lv.1), Deforest(Lv.3), Oil Extraction(Lv.2), Product Medicine(Lv.1)",100,100,100,100,100,100,-1,-1,-1,4,0,8080,50,0,
-1,The Ocean's Wrath Surfent,Missing...,True,False,Water,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalFluid'}","Can be ridden to travel on water. While mounted, prevents stamina depletion
while moving over water.","Can be ridden to travel on water. While mounted, prevents stamina depletion
while moving over water.",Watering(Lv.2),90,70,90,80,100,100,200,500,750,5,4,5050,50,560,Hydro Jet (Lv.1 | Pwr.30 | CD.2s) | Dragon Cannon (Lv.7 | Pwr.30 | CD.2s) | Aqua Gun (Lv.15 | Pwr.40 | CD.4s) | Bubble Blast (Lv.22 | Pwr.65 | CD.13s) | Dragon Burst (Lv.30 | Pwr.55 | CD.10s) | Draconic Breath (Lv.40 | Pwr.70 | CD.15s) | Hydro Laser (Lv.50 | Pwr.150 | CD.55s)
-1,The Desert's Wrath Surfent Terra,Missing...,True,False,Ground,,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 3, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalFluid'}",Can be ridden.,Can be ridden.,Collection(Lv.1),90,70,90,100,100,100,200,500,750,5,5,5140,50,550,Sand Blast (Lv.1 | Pwr.40 | CD.4s) | Dragon Cannon (Lv.7 | Pwr.30 | CD.2s) | Stone Blast (Lv.15 | Pwr.55 | CD.10s) | Stone Cannon (Lv.22 | Pwr.70 | CD.15s) | Sand Tornado (Lv.30 | Pwr.80 | CD.18s) | Draconic Breath (Lv.40 | Pwr.70 | CD.15s) | Rock Lance (Lv.50 | Pwr.150 | CD.55s)
-1,Archer of the Forest Robinquill,Missing...,True,False,Grass,,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 50, 'min_drop': 1, 'max_drop': 2, 'item_name': 'WheatSeeds'}","While fighting together, allows you to deal more damage to weak points.","While fighting together, allows you to deal more damage to weak points.","Seeding(Lv.1), Handcraft(Lv.2), Collection(Lv.2), Deforest(Lv.1), Product Medicine(Lv.1), Transport(Lv.2)",90,100,105,80,100,100,100,600,750,3,0,2050,50,1020,Wind Cutter (Lv.1 | Pwr.30 | CD.2s) | Power Shot (Lv.7 | Pwr.35 | CD.4s) | Focus Shot (Lv.15 | Pwr.65 | CD.9s) | Seed Mine (Lv.22 | Pwr.65 | CD.13s) | Grass Tornado (Lv.30 | Pwr.80 | CD.18s) | Spine Vine (Lv.40 | Pwr.95 | CD.25s) | Solar Blast (Lv.50 | Pwr.150 | CD.55s)
-1,Ate Too Much Pengullet,Missing...,True,False,Ice,Water,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'IceOrgan'}","When activated, the player equips a Rocket Launcher and fires Pengullet as ammunition.
Pengullet explodes on contact and is incapacitated.","When activated, the player equips a Rocket Launcher and fires Pengullet as ammunition.
Pengullet explodes on contact and is incapacitated.","Watering(Lv.1), Handcraft(Lv.1), Cool(Lv.1), Transport(Lv.1)",70,70,75,70,100,100,60,500,650,2,1,1080,50,1350,Ice Missile (Lv.1 | Pwr.30 | CD.3s) | Hydro Jet (Lv.7 | Pwr.30 | CD.2s) | Aqua Gun (Lv.15 | Pwr.40 | CD.4s) | Icicle Cutter (Lv.22 | Pwr.55 | CD.10s) | Iceberg (Lv.30 | Pwr.70 | CD.15s) | Blizzard Spike (Lv.40 | Pwr.130 | CD.45s) | Hydro Laser (Lv.50 | Pwr.150 | CD.55s)
-1,Several Sleepless Nights Later Depresso,Missing...,True,False,Dark,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 2, 'max_drop': 3, 'item_name': 'Venom'}","When activated, Depresso drinks a massive amount of energy drinks,
causing its movement speed to increase.","When activated, Depresso drinks a massive amount of energy drinks,
causing its movement speed to increase.","Handcraft(Lv.1), Mining(Lv.1), Transport(Lv.1)",70,70,70,70,100,100,10,300,400,2,1,1050,50,1380,Poison Blast (Lv.1 | Pwr.30 | CD.2s) | Sand Blast (Lv.7 | Pwr.40 | CD.4s) | Dark Ball (Lv.15 | Pwr.40 | CD.4s) | Ice Missile (Lv.22 | Pwr.30 | CD.3s) | Shadow Burst (Lv.30 | Pwr.55 | CD.10s) | Nightmare Ball (Lv.40 | Pwr.100 | CD.30s) | Dark Laser (Lv.50 | Pwr.150 | CD.55s)
-1,Emotionless Killamari,Missing...,True,False,Dark,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'Venom'}","While in team, can be summoned and used instead of a glider. Can float for long periods of time while gliding.","While in team, can be summoned and used instead of a glider. Can float for long periods of time while gliding.","Collection(Lv.1), Transport(Lv.2)",60,100,60,70,100,100,120,400,550,3,1,1200,50,1290,Hydro Jet (Lv.1 | Pwr.30 | CD.2s) | Poison Blast (Lv.7 | Pwr.30 | CD.2s) | Dark Ball (Lv.15 | Pwr.40 | CD.4s) | Shadow Burst (Lv.22 | Pwr.55 | CD.10s) | Acid Rain (Lv.30 | Pwr.80 | CD.18s) | Nightmare Ball (Lv.40 | Pwr.100 | CD.30s) | Dark Laser (Lv.50 | Pwr.150 | CD.55s)
-1,Revealer of Paths Foxparks,Missing...,True,False,Fire,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 2, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 1, 'item_name': 'Leather'}","When activated, equips to the player and transforms into a flamethrower.","When activated, equips to the player and transforms into a flamethrower.",Emit Flame(Lv.1),65,70,75,70,100,100,80,400,550,2,1,2560,50,1400,Ignis Blast (Lv.1 | Pwr.30 | CD.2s) | Sand Blast (Lv.7 | Pwr.40 | CD.4s) | Spirit Fire (Lv.15 | Pwr.45 | CD.7s) | Flare Arrow (Lv.22 | Pwr.55 | CD.10s) | Ignis Breath (Lv.30 | Pwr.70 | CD.15s) | Spirit Flame (Lv.40 | Pwr.75 | CD.16s) | Fire Ball (Lv.50 | Pwr.150 | CD.55s)
-1,Molten Daughter Flambelle,Missing...,True,False,Fire,,"{'drop_rate': 100, 'min_drop': 1, 'max_drop': 3, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 2, 'max_drop': 3, 'item_name': 'FireOrgan'}",Sometimes produces Flame Organ when assigned to Ranch.,Sometimes produces Flame Organ when assigned to Ranch.,"Emit Flame(Lv.1), Handcraft(Lv.1), Transport(Lv.1), Monster Farm(Lv.1)",60,100,70,80,100,100,98,250,375,2,1,2500,50,1405,
-1,Perpetual Procrastinator Dumud,Missing...,True,False,Ground,,"{'drop_rate': 100, 'min_drop': 4, 'max_drop': 6, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 2, 'max_drop': 2, 'item_name': 'Meat_LazyCatfish'}","While in team, increases attack power of Ground Pals.","While in team, increases attack power of Ground Pals.","Watering(Lv.1), Mining(Lv.2), Oil Extraction(Lv.1), Transport(Lv.1)",100,100,70,95,100,100,150,450,600,4,4,4690,50,895,
-1,Gluttonous Dragon Relaxaurus,Missing...,True,False,Dragon,Water,"{'drop_rate': 100, 'min_drop': 2, 'max_drop': 4, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 4, 'item_name': 'PalOil'}",Can be ridden. Can rapidly fire a missile launcher while mounted.,Can be ridden. Can rapidly fire a missile launcher while mounted.,"Watering(Lv.2), Transport(Lv.1)",110,110,100,70,100,100,60,650,900,7,8,10240,50,280,Dragon Cannon (Lv.1 | Pwr.30 | CD.2s) | Aqua Gun (Lv.7 | Pwr.40 | CD.4s) | Dragon Burst (Lv.15 | Pwr.55 | CD.10s) | Bubble Blast (Lv.22 | Pwr.65 | CD.13s) | Draconic Breath (Lv.30 | Pwr.70 | CD.15s) | Aqua Burst (Lv.40 | Pwr.100 | CD.30s) | Dragon Meteor (Lv.50 | Pwr.150 | CD.55s)
-1,Gluttonous Thunder Dragon Relaxaurus Lux,Missing...,True,False,Dragon,Electric,"{'drop_rate': 100, 'min_drop': 3, 'max_drop': 5, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 1, 'max_drop': 4, 'item_name': 'PalOil'}",Can be ridden. Can rapidly fire a missile launcher while mounted.,Can be ridden. Can rapidly fire a missile launcher while mounted.,"Generate Electricity(Lv.3), Transport(Lv.1)",110,110,110,75,100,100,60,650,900,7,9,10380,50,270,Spark Blast (Lv.1 | Pwr.30 | CD.2s) | Dragon Cannon (Lv.7 | Pwr.30 | CD.2s) | Shockwave (Lv.15 | Pwr.40 | CD.4s) | Lightning Streak (Lv.22 | Pwr.75 | CD.16s) | Draconic Breath (Lv.30 | Pwr.70 | CD.15s) | Lightning Strike (Lv.40 | Pwr.120 | CD.40s) | Lightning Bolt (Lv.50 | Pwr.150 | CD.55s)
-1,Lily Empress Lyleen,Missing...,True,False,Grass,,"{'drop_rate': 100, 'min_drop': 4, 'max_drop': 6, 'item_name': 'PalCrystal_Ex'}","{'drop_rate': 100, 'min_drop': 3, 'max_drop': 3, 'item_name': 'Herbs'}","When activated, the queen's soothing graces greatly restore the player's HP.","When activated, the queen's soothing graces greatly restore the player's HP.","Seeding(Lv.4), Handcraft(Lv.3), Collection(Lv.2), Product Medicine(Lv.3)",110,100,110,105,100,100,100,450,550,6,9,7160,30,250,Wind Cutter (Lv.1 | Pwr.30 | CD.2s) | Seed Machine Gun (Lv.7 | Pwr.50 | CD.9s) | Seed Mine (Lv.15 | Pwr.65 | CD.13s) | Aqua Burst (Lv.22 | Pwr.100 | CD.30s) | Grass Tornado (Lv.30 | Pwr.80 | CD.18s) | Spine Vine (Lv.40 | Pwr.95 | CD.25s) | Solar Blast (Lv.50 | Pwr.150 | CD.55s)
