id,name,englishName,description,type1,type2,hp,attack,defense,rarity,size,foodAmount,partnerSkill,work1,work2,work3,activeSkills,dropItem1,dropItem2,eggType,imageFile
20,돌진돼지,,"""굉장히 호전적으로 힘 차이를 계산한 뒤 상대에게 달려든다. 몸집이 작은 팰이지만, 무시무시한 돌진력은 큰 바위도 날릴 기세다.""",무속성,땅,80,100,70,20,S,6,,,,,,거친 느낌의 알,돌진돼지의 살코기-   가죽   뼈,거친 느낌의 알,20_menu.webp
21,루나티,NightFox,밤길에 루나티의 털을 발견했다면 줍지 말고 그대로 두는 게 좋다. 그 털은 밝지 않는 밤으로 향하는 편도 티켓이다.,무속성,화염,75,150,70,6,XS,7,채집(LV.1),,,,,암흑의 대형 알,가죽   작은 팰 영혼,암흑의 대형 알,21_menu.webp
22,두더비,CuteMole,커다란 발톱은 다이아몬드처럼 단단하지만 발톱 손질에 힘을 너무 쏟은 나머지 그대로 지쳐 하루를 마감하기도 한다.,무속성,땅,65,150,100,1,XS,7,수작업(LV.1) | 채굴(LV.1) | 운반(LV.1),,,,,거친 느낌의 알,가죽-,거친 느낌의 알,22_menu.webp
23,고스문,NegativeOctopus,적에 머리에 달라붙어 내용물을 쪽쪽 빨아먹는다. 팰의 미라가 드물게 발견되는데 대개 고스문에게 희생된 팰이다.,물,어둠,60,100,60,9,XS,1,관개(LV.1) | 채집(LV.1) | 운반(LV.2),,,,,암흑의 알,,암흑의 알,23_menu.webp
24,냐옹테트,,단단한 꼬리 조직은 잘라도 그대로이다. 그 꼬리가 재물을 불러온다는 미신이 성행해 대량의 냐옹테트가 목숨을 잃었다.,화염,물,70,100,70,1,XS,7,,,,,,암흑의 알,,암흑의 알,24_menu.webp
25,루미카이트,FlyingManta,바람을 타고 자유로이 여행한다. 도착한 곳에서 파트너를 발견하면 이들의 여행도 끝이 난다.,무속성,물,80,100,70,7,M,3,관개(LV.1) | 운반(LV.1),,,,,축축한 알,하늘을 헤엄치는 물고기 루미카이트  루미카이트,축축한 알,25_menu.webp
26,다크울프,,인간과 접촉이 뜸해진 지 오래지만 다크울프 무리의 수렵 체계는 일찍이 인간과 함께했던 사냥이 그 뿌리다.,무속성,화염,80,110,90,9,S,2,채집(LV.1),,,,,평범한 알,가죽-   루비   금화-,평범한 알,26_menu.webp
27,알록새,ColorfulBird,폭발하는 알을 낳는 공포의 팰. 보통 엉덩이에서 발사하는 알을 무기로 삼지만 궁지에 몰리면 자기 몸까지 터뜨린다.,무속성,땅,60,150,80,18,S,1,채집(LV.1),,,,,알록새,알 폭탄 발사기,알록새,27_menu.webp
28,토푸리,FlowerRabbit,식물이 많은 곳을 좋아하지만 최근 토푸리 무리에게 꽃가루 알레르기가 유행하는 듯하다.,무속성,물,75,100,65,17,XS,1,도우미 토끼,,,,,신록의 알,,신록의 알,28_menu.webp
29,밀카우,,대충 풀어놓기만 해도 수도꼭지처럼 우유가 쏟아진다. 수컷도 우유가 나온다. 그야말로 생명의 신비다.,무속성,풀,90,100,50,2,S,7,우유 생산,,,,,평범한 알,,평범한 알,29_menu.webp
30,가시공주,LittleBriarRose,가시엔 독이 있어 찔리면 위험하다. 귀요비 하고 사이 좋게 꿀을 빨 때만큼은 얼굴이 밝아진다.,풀,얼음,30,80,80,1,S,7,,,,,,신록의 알,,신록의 알,30_menu.webp
31,샤키드,,먼 옛날엔 거대하고 강력한 수생 팰이었지만 육상에 적응하면서 소형화됐다. 공격받으면 화를 낸다.,무속성,물,31,70,200,1,M,7,급수(LV.2) | 수작업(LV.1) | 운반(LV.1),,,,,푸른 알,,푸른 알,31_menu.webp
32,건다리,GorillaBeast,거대한 팔은 강철도 찢어버릴 정도다. 높은 곳에서 떨어져도 팔 힘만으로 안전하게 착지한다.,무속성,땅,32,110,100,2,L,7,수작업(LV.1) | 벌목(LV.2) | 운반(LV.2),,,,,암석의 알,건다리의 털가죽,암석의 알,32_menu.webp
33,초판다,GrassPanda,"""믿기 힘든 괴력의 소유자. 한 번에 3,000장의 종이를 찢을 수 있다고 한다.""",무속성,풀,33,130,130,3,L,7,수작업(LV.1) | 벌목(LV.2) | 운반(LV.2),,,,,신록의 알,,신록의 알,33_menu.webp
34,캔디쉽,SweetsSheep,"""전신이 설탕보다 18,000배나 달다. 혀로 핥으면 당분 과다로 기절할지도 모른다.""",무속성,물,34,70,200,1,S,5,목장에 배치하면 솜사탕을 생산한다.,,,,,평범한 알,,평범한 알,34_menu.webp
35,베리고트,BerryGoat,열매가 달린 뿔이 특징. 열매가 떨어지면 우울해한다.,무속성,풀,35,80,90,2,M,5,열매 채집,,,,,열매가 달린 뿔이 특징. 열매가 떨어지면 우울해한다.,열매 채집,신록의 알,35_menu.webp
36,멜파카,,털이 매우 부드럽다. 한번 만져보면 푹신한 감촉에 빠져나올 수 없다.,무속성,,36,100,110,2,L,4,목장에 배치하면 양털을 생산한다.,,,,,목장에 배치하면 양털을 생산한다.,평범한 알,평범한 알,36_menu.webp
37,신령사슴,,깊은 숲의 수호자. 자연을 파괴하는 자에게는 용서가 없다.,무속성,용,37,120,120,3,L,5,,,,,,평범한 알,신령사슴의 뿔,평범한 알,37_menu.webp
38,나이트윙,,밤하늘을 우아하게 나는 팰. 달빛 아래에서만 볼 수 있다고 한다.,무속성,,38,110,100,3,L,5,,,,,,평범한 알,,평범한 알,38_menu.webp
39,핑토,PinkRabbit,항상 방긋방긋 웃는 얼굴로 지낸다. 가끔 까부냥의 장난으로 촉수가 묶이기도 한다. 그리고 그때만큼은 귀신의 형상으로 변하게 된다고 한다.,무속성,얼음,39,75,150,1,XS,7,수작업(LV.1) | 채집(LV.1) | 운반(LV.1),,,,,평범한 알,가죽   예쁜 꽃   핑토의 리본,평범한 알,39_menu.webp
40,헬고트,Baphomet,밤에 사냥감을 잡아 자기 영역에 돌아온다. 잡힌 팰이 그 후 어떤 일을 당할지는 불 보듯 뻔하다.,화염,어둠,40,95,150,4,M,7,불 피우기(LV.1) | 수작업(LV.2) | 채굴(LV.1) | 운반(LV.2),,,,,열기 나는 알,뿔   가죽,열기 나는 알,40_menu.webp
41,귀요비,CuteButterfly,가루를 흡입하면 승천하는 듯한 쾌락을 안겨준다. 단속을 강화하자는 움직임도 있지만 팰 애호 단체의 반대로 진척이 없다.,무속성,물,41,70,100,4,M,7,,,,,,신록의 알,,신록의 알,41_menu.webp
42,불페르노,FlameBuffalo,먼 옛날엔 육식 팰에게 사냥당하기 일쑤였다. 그 부조리에 울부짖은 불페르노 무리의 분노는 활활 타오르며 대대로 이어졌다.,화염,,42,85,100,16,M,4,,,,,,열기 나는 알,뿔   발화 기관,열기 나는 알,42_menu.webp
43,도도롱,LazyCatfish,한없이 늘어질 때는 모든 반응이 둔해진다. 28번의 자상을 입게 되더라도 다음 날이 되어서야 이를 깨닫고 목숨을 잃는다.,물,땅,43,100,100,4,M,7,관개(LV.1) | 채굴(LV.2) | 운반(LV.1) | 목장(LV.1),,,,,거친 느낌의 알,,거친 느낌의 알,43_menu.webp
49,고릴레이지,Gorilla,지면을 두드리는 리듬으로 동료와 의사소통한다. 리듬에 상응하는 의미는 무리마다 다른데 그 분류는 지금도 명확하지 않다.,무속성,물,49,90,110,5,S,3,수작업(LV.1) | 벌목(LV.2) | 운반(LV.3),,,,,평범한 대형 알,가죽-   뼈,평범한 대형 알,49_menu.webp
50,비나이트,SoldierBee,퀸비나을 충실히 따르는 하인. 여왕에게 해를 끼치는 자를 철저히 배제한다. 끝내 자폭을 해서라도 여왕을 지켜낸다.,무속성,물,50,80,100,4,M,3,,,,,,신록의 알,,신록의 알,50_menu.webp
51,퀸비나,QueenBee,비나이트을 총괄하는 선택받은 여왕. 위대한 여왕을 위해 일한다는 기쁨으로 죽을 때까지 일하는 하인이 끊이지 않는다.,무속성,풀,51,90,100,8,L,7,,,,,,신록의 거대한 알,,신록의 거대한 알,51_menu.webp
44,마스크로우,Cawgnito,원래 드넓은 창공을 자유로이 날아다녔으나 질풍수리와(과) 싸움에서 패배해 하늘을 빼앗기고 밤에 숨죽인 채 살게 됐다.,화염,어둠,44,75,80,3,M,5,,,,,,암흑의 알,,암흑의 알,44_menu.webp
45,도마맨,Leezpunk,일어선 모습에 이상한 집착을 보인다. 항상 제일 멋진 자세를 연구하며 거울을 주면 하루 종일 자세만 궁리한다.,화염,어둠,45,80,90,2,S,3,수작업(LV.1)|운반(LV.1)|채집(LV.1),,,,,암흑의 알,,암흑의 알,45_menu.webp
46,달서니,Loupmoon,머리의 뿔은 달빛을 받아야 자란다. 태양을 못 견디는 건 아니지만 햇빛을 쬐는 동안에는 뿔이 근질거린다.,화염,얼음,46,80,130,3,M,5,,,,,,암흑의 알,,암흑의 알,46_menu.webp
47,질풍수리,Galeclaw,사람을 낚아챈 채로도 잘 날아다닌다. 하지만 지치면 주저 없이 놓아버리므로 추락사 사고가 끊이지 않는다.,무속성,,47,75,120,2,M,4,채집(LV.2),,,,,평범한 알,질풍수리의 살코기 가죽,평범한 알,47_menu.webp
48,로빈몽,Robinquill,"""숲에서 수렵 생활을 하는, 사람과 비슷한 성질의 팰. 아주 먼 옛날 사람과 다른 계통으로 갈라졌다고 여겨지며 팰의 정체를 밝혀줄 열쇠일지도 모른다.""",풀,,48,90,100,5,M,3,,,,,,신록의 알,,신록의 알,48_menu.webp
52,소름냥이,Grintale,쥐구멍을 찾아다니며 무언가를 쫓고 있다. 몇 년에 걸친 관찰 결과 그것은 '소름'이라는 것이 밝혀졌다.,무속성,풀,52,60,150,1,S,7,수작업(LV.1) | 운반(LV.1) | 채굴(LV.1),,,,,평범한 알,양털   소름냥이의 털털털,평범한 알,52_menu.webp
53,모프링,MopBaby,지면을 기어 다니며 미세 유기물을 섭취한다. 영양이 없는 건 잠시 후 배출한다. 걸레라 생각하고 청소에 활용하면 서로 윈윈.,무속성,물,53,60,150,1,XS,7,채집(LV.1) | 냉각(LV.1),,,,,얼어붙은 알,양털   모프링의 솜털,얼어붙은 알,53_menu.webp
54,모프킹,MopKing,동면 중엔 거대한 털 뭉치 속에 대량의 모프링이 숨어 있다. 과거 최대 기록은 무려 101마리.,무속성,얼음,54,100,100,14,L,6,채집(LV.2) | 냉각(LV.2),,,,,얼어붙은 대형 알,양털-,얼어붙은 대형 알,54_menu.webp
55,베비뇽,WeaselDragon,몸을 둥글게 말아 엄청난 속도로 회전 이동할 수 있다. 옛날 사람들은 길들인 베비뇽에게 우유 주머니를 달아 방목하며 그 회전력으로 버터를 만들었다.,얼음,용,55,90,100,13,M,4,채집(LV.1) | 냉각(LV.1),,,,,얼어붙은 알,가죽-,얼어붙은 알,55_menu.webp
56,썬더콘,,예전엔 번개 신의 사자로 여겨져 사람들이 건드리지 않았다. 하지만 낙뢰에 맞아 사망하는 모습이 목격된 뒤로 신앙이 무너지며 보이는 족족 잡혔다.,번개,,56,80,110,14,M,5,,,,,,찌릿찌릿한 대형 알,가죽   발전 기관   뿔,찌릿찌릿한 대형 알,56_menu.webp
57,빙호,Foxcicle,오로라가 보이는 밤이면 하늘을 올려다보며 아름다운 목소리로 노래를 시작한다. 다만 그 탓에 적에게 자주 공격당한다.,화염,얼음,57,90,95,5,S,3,,,,,,,,,57_menu.webp
58,파이린,,전신이 고효율의 방열 기관이 되어 경이적인 지구력을 발휘한다. 누가 올라타면 화상을 입지 않도록 배려해준다.,화염,,58,100,95,6,L,5,,,,,,,,,58_menu.webp
59,얼음사슴,Reindrix,속이 비치는 투명한 뿔은 절대 영도에서 반짝인다. 맨손으로 만지면 전신이 얼어붙어 목숨마저 가루처럼 부서져 날아간다.,얼음,,59,100,85,4,M,7,,,,,,,,,59_menu.webp
60,썬도그,Electric,전속력으로 뛰면 그야말로 번개나 다름없다. 썬도그 끼리 충돌하면 천둥 같은 굉음이 울려 퍼진다.,번개,,60,90,100,5,M,8,,,,,,,,,60_menu.webp
61,불이리,AmaterasuWolf,기질이 워낙 예민해 기분이 상하면 동굴에 숨어 버린다. 옛 사람들은 불이리가 숨으면 흉조로 여겼다.,화염,,61,100,70,6,M,4,,불 피우기 Lv2,,,,열기 나는 대형 알,발화 기관가죽,열기 나는 대형 알,61_menu.webp
62,썬더 키드,Electric,외톨이인 팰에게 친근하게 잘 대해준다. 착각한 상대 팰이 곁을 내주기가 무섭게 이때다 하고 낙뢰로 숨통을 끊는다.,번개,,62,70,110,2,XS,7,발전 Lv1|수작업 Lv1|운반 Lv1,발전 Lv1|수작업 Lv1|운반 Lv1,,,,천둥의 딸,찌릿찌릿한 알,찌릿찌릿한 알,62_menu.webp
63,루나리스,Neutral,무심결에 눈을 쳐다봤다간 꼼짝없이 당하고 만다. 루나리스를 데리고 다니는 상당수는 그저 그렇게 하도록 홀렸을 뿐이다.,얼음,,63,90,80,6,M,2,수작업 Lv3|채집 Lv1|운반 Lv1,수작업 Lv3|채집 Lv1|운반 Lv1,,,,평범한 대형 알,Lv. 평범한 대형 알,평범한 대형 알,63_menu.webp
64,플로라디노,FlowerDinosaur,한번 화를 내면 걷잡을 수 없을 정도로 분기탱천한다. 플로라디노의 꼬리를 밟다라는 말은 누군가의 격노를 샀다는 뜻이다.,풀,용,64,110,90,6,L,7,,파종 Lv2|벌목 Lv2,,,,신록의 대형 알,Lv. 신록의 대형 알,신록의 대형 알,64_menu.webp
65,씨무기,Serpent,유선형의 몸을 가져 수상 활동에 적합하다. 밀렵꾼에게 자주 붙잡혀 서핑보드 대용으로 사용되고 있다.,물,용,65,90,70,4,M,5,,관개 Lv2,,,,축축한 알,,축축한 알,65_menu.webp
66,고스호스,GhostBeast,죽을 때가 가까워진 생물이 뿜어내는 독특한 냄새를 좋아한다. 고스호스에게 사랑받는다는 건 바로 그런 것이다.,화염,물,66,75,50,6,M,3,"채집 Lv2, 채굴 Lv1","채집 Lv2, 채굴 Lv1",,,,암흑의 대형 알,,암흑의 대형 알,66_menu.webp
67,드릴북이,DrillGame,드릴북이의 드릴이란 이야기가 있다. 최강의 등딱지와 드릴을 가진 드릴북이가 모순에 관해 고민하는 도덕적인 이야기다.,물,땅,67,80,80,5,M,7,,채굴 Lv3,,,,거친 느낌의 대형 알,,거친 느낌의 대형 알,67_menu.webp
68,냥뱃,CatBat,갑자기 다른 팰 앞에 나타나 자랑스레 날개를 펼쳐 존재감을 과시한다. 위협적인 종으로 여겨지나 어딘지 모르게 황홀한 표정을 하고 있다.,화염,어둠,68,95,100,5,M,7,"채집 Lv2, 채굴 Lv2, 운반 Lv2","채집 Lv2, 채굴 Lv2, 운반 Lv2",,,,암흑의 대형 알,가죽   작은 팰 영혼,암흑의 대형 알,68_menu.webp
69,핑크뇽,PinkLizard,하룻밤의 사랑을 찾아 항상 누군가를 뒤쫓는다. 처음엔 팰에게만 흥미를 보였지만 최근엔 사람에게도 마수를 뻗기 시작했다.,무속성,,69,120,70,5,L,7,수작업 Lv2 / 채굴 Lv1 / 제약 Lv2 / 운반 Lv2,수작업 Lv2 / 채굴 Lv1 / 제약 Lv2 / 운반 Lv2,,,,평범한 대형 알,,평범한 대형 알,69_menu.webp
70,라비,LavaGirl,울 때 눈물 대신 용암이 흐른다. 흘러내린 용암은 다시 몸에 흡수되어 더욱 뜨거워진다. 흘린 눈물만큼 강해지는 것이다.,화염,물,70,60,100,1,XS,2,불 피우기 Lv1 / 수작업 Lv1 / 운반 Lv1 / 목장 Lv1,불 피우기 Lv1 / 수작업 Lv1 / 운반 Lv1 / 목장 Lv1,,,,가축 목장에 배치하면 발화 기관을 만들기도 한다.,열기 나는 알,열기 나는 알,70_menu.webp
71,버드래곤,BirdDragon,버드래곤의 외골격으로 만든 피리 소리는 천 개의 봉우리를 건넌다고 한다. 고대 전쟁에선 공격 신호로 사용했다.,화염,어둠,71,90,100,4,L,6,불 피우기 Lv1 / 운반 Lv3,불 피우기 Lv1 / 운반 Lv3,,,,열기 나는 알,,열기 나는 알,71_menu.webp
72,불무사,,죽기 무섭게 몸이 칼날처럼 변해 다음 세대로 넘겨진다. 불무사 이외의 존재가 칼을 소유하면 안에 감춰진 망자들의 끈질긴 목소리에 미쳐버리고 만다.,번개,얼음,72,80,100,7,M,4,불 피우기 Lv2 / 수작업 Lv1 / 채집 Lv1 / 벌목 Lv3 / 운반 Lv2,불 피우기 Lv2 / 수작업 Lv1 / 채집 Lv1 / 벌목 Lv3 / 운반 Lv2,,,,열기 나는 대형 알,뼈 -  / 금속 주괴 -,열기 나는 대형 알,72_menu.webp
73,라이버드,ThunderBird,적토조의 근연종으로 보이나 관계는 없다. 급강하해 날카로운 주둥이로 적을 처치한다. 그 모습은 마치 낙뢰를 보는 듯하다.,번개,,73,105,100,6,L,8,발전 Lv2|채집 Lv1|운반 Lv3,발전 Lv2|채집 Lv1|운반 Lv3,,,,천뢰,찌릿찌릿한 대형 알,찌릿찌릿한 대형 알,73_menu.webp
74,적토조,RedArmorBird,라이버드의 근연종이지만 관계는 없다. 암석이 주식이며 오랜 세월에 걸쳐 주둥이는 물론 머리 전체가 단단해졌다.,화염,물,74,95,100,7,L,8,불 피우기 Lv3|운반 Lv3,불 피우기 Lv3|운반 Lv3,,,,열기 나는 대형 알,발화 기관,열기 나는 대형 알,74_menu.webp
75,캐티메이지,CatMage,음기의 힘으로 기괴한 술수를 부린다. 뭐든지 생으로 먹는 걸 좋아한다. 마호하고는 사이가 나쁘다.,무속성,화염,75,90,100,6,M,7,수작업 Lv2|제약 Lv2|운반 Lv2,수작업 Lv2|제약 Lv2|운반 Lv2,,,,암흑의 대형 알,가죽캐티메이지의 체모고도의 기술서,암흑의 대형 알,75_menu.webp
76,마호,FoxMage,양기의 힘으로 기괴한 술수를 부린다. 뭐든지 노릇노릇하게 구워 먹는다. 캐티메이지하고는 사이가 나쁘다.,화염,용,76,90,50,6,M,7,불 피우기 Lv2|수작업 Lv3|운반 Lv2,불 피우기 Lv2|수작업 Lv3|운반 Lv2,,,,열기 나는 대형 알,발화 기관고도의 기술서,열기 나는 대형 알,76_menu.webp
77,초토리,GrassRabbitMan,초토리가 달리고 나면 토질이 좋아져 초목이 우거진다. 제초제를 뿌리면 그곳은 달리지 않는다.,풀,,77,90,100,1,M,8,"파종 Lv2, 수작업 Lv3, 채집 Lv3, 벌목 Lv2, 운반 Lv2","파종 Lv2, 수작업 Lv3, 채집 Lv3, 벌목 Lv2, 운반 Lv2",,,,신록의 거대한 알,가죽 뼈,신록의 거대한 알,77_menu.webp
78,비오레타,VioletFairy,"""성에는 임금님께서 좋아하시는 꽃이 잔뜩 피어 있었습니다. 어느 날 큰 싸움이 벌어져, 성까지 불이 옮겨붙으려 하고 있었습니다. 바로 그곳에서, 한 꽃의 정령이 나타났습니다. - 동화 '임금님의 꽃'에서 발췌.""",풀,땅,78,100,100,1,M,8,"파종 Lv2, 수작업 Lv2, 채집 Lv2, 제약 Lv3, 운반 Lv1","파종 Lv2, 수작업 Lv2, 채집 Lv2, 제약 Lv3, 운반 Lv1",,,,신록의 거대한 알,,신록의 거대한 알,78_menu.webp
79,실키누,WhiteMoth,비를 좋아해서 비가 내리는 동안 꼼작 않고 있는 경우가 많다. 파이호가 자주 비를 피하러 찾아온다.,화염,물,79,110,90,1,L,7,,"제약 Lv2, 냉각 Lv2, 목장 Lv1",,,,얼어붙은 대형 알,상급 천 빙결 기관,얼어붙은 대형 알,79_menu.webp
80,실피아,FairyDragon,겉모습처럼 천진난만한 성격이다. 그래서인지 선악의 구별에 어두워 악의를 가진 인간에게 이용당하기 십상이다.,어둠,용,80,110,80,1,L,7,,벌목 Lv2,,,,용의 대형 알,,용의 대형 알,80_menu.webp
