id,name_kor,description_kor,elements,partnerSkill_name,partnerSkill_describe,partnerSkill_needItem,partnerSkill_needItemTechLevel,partnerSkill_level,stats_size,stats_rarity,stats_health,stats_food,stats_meleeAttack,stats_attack,stats_defense,stats_workSpeed,stats_support,stats_captureRateCorrect,stats_maleProbability,stats_combiRank,stats_goldCoin,stats_egg,stats_code,movement_slowWalkSpeed,movement_walkSpeed,movement_runSpeed,movement_rideSprintSpeed,movement_transportSpeed,level60_health,level60_attack,level60_defense,activeSkills,activeSkills_count,passiveSkills,passiveSkills_count,drops,drops_count,workSuitabilities,workSuitabilities_count,tribes,tribes_count,spawners,spawners_count
9,불꽃밤비,야생 불꽃밤비은(는) 놀라울 정도로 건강을 잘 지킨다. 하루에 하나씩 가지를 태워 만든 숯을 먹는 것이 영원한 건강의 비결이라고 한다.,화염 속성,작은 불씨,보유하고 있는 동안 화염 속성 팰의 공격력이 증가한다.,,0,1.0,S,2,75,225,100,70,75,100,100.0,1.1,50.0,1155,2950.0,열기 나는 알,FlameBambi,70.0,100,400,550.0,-1.0,3262 – 3993,441 – 543,415 – 525,"파이어 샷(화염 속성, 30파워, 2초) | 파워 샷(무속성, 35파워, 4초) | 스피릿 파이어(화염 속성, 45파워, 7초) | 불화살(화염 속성, 55파워, 10초) | 화염 폭풍(화염 속성, 80파워, 18초) | 인페르노(화염 속성, 120파워, 40초) | 화염구(화염 속성, 150파워, 55초)",7,,0,"발화 기관(2–3, 100%) | 가죽(1, 100%)",2,불 피우기(LV.1),1,무리의 우두머리 불꽃밤비 | 불꽃밤비,2,"불꽃밤비(Lv. 2–5, PvP_21_1_1) | 무리의 우두머리 불꽃밤비(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴) | 불꽃밤비(Lv. 6–9, 구릉 동굴, 외딴 섬의 동굴) | 불꽃밤비(Lv. 9–11, 3_4_volcano_1)",4
10,펭키,날개가 완전히 퇴화해 날 수 없다. 대신 유전자에 새겨진 하늘을 향한 미련이 있어 어떻게든 다시 날아오르려고 한다.,물 속성|얼음 속성,펭키 발사기,발동하면 로켓 발사기을(를) 장착하여 펭키을(를) 탄환 삼아 발사한다. 착탄하여 폭발하면 펭키이(가) 빈사 상태가 된다.,기술17,17,1.0,XS,1,70,150,70,75,70,100,100.0,0.9,50.0,1350,1080.0,축축한 알,Penguin,30.0,60,500,650.0,265.0,3100 – 3782,465 – 575,391 – 493,"얼음 미사일(얼음 속성, 30파워, 3초) | 워터 제트(물 속성, 30파워, 2초) | 아쿠아 샷(물 속성, 40파워, 4초) | 얼음 칼날(얼음 속성, 55파워, 10초) | 빙산(얼음 속성, 70파워, 15초) | 눈보라 스파이크(얼음 속성, 130파워, 45초) | 하이드로 스트림(물 속성, 150파워, 55초)",7,,0,"빙결 기관(1–2, 100%) | 팰의 체액(1, 100%)",2,관개(LV.1) | 수작업(LV.1) | 냉각(LV.1) | 운반(LV.1),4,과식한 펭키 | 펭키,2,"펭키(Lv. 10–12, World Map 311,-13) | 펭키(Lv. 3–6, 1_3_plain_kitsunbi) | 펭키(Lv. 2–4, 1_3_water) | 펭키(Lv. 9–12, 1_12_plain_BossTower) | 펭키(Lv. 30–34, snow_5_2_SnowGrass) | 과식한 펭키(Lv. 10–13, 구릉 동굴, 외딴 섬의 동굴)",6
10B,뎅키,날개가 완전히 퇴화해 날 수 없다. 하늘을 향한 미련은 어느덧 질투로 변화하여 하늘을 나는 모든 것을 격추할 전기의 힘을 얻게 되었다!,물 속성|번개 속성,뎅키 발사기,발동하면 로켓 발사기을(를) 장착하여 뎅키을(를) 탄환 삼아 발사한다. 착탄하여 폭발하면 뎅키이(가) 빈사 상태가 된다.,기술39,39,1.0,XS,2,70,150,100,80,70,100,100.0,0.9,50.0,1310,1290.0,축축한 알,Penguin_Electric,30.0,60,500,650.0,265.0,3100 – 3782,490 – 607,391 – 493,Lv1 번개 창 (위력:30) | Lv15 버블 샷 (위력:65),2,,0,발전 기관 x1–2 (100%) | 팰의 체액 x1 (100%),2,관개 LV.1 | 발전 LV.2 | 수작업 LV.1 | 운반 LV.1,4,과음한 뎅키 (Tribe Boss) | 뎅키 (Tribe Normal),2,Lv16–27 커다란 낚시터 Medium 9.96%,1
11,펭킹,사실 펭키와 아무 연관도 없는 종. 멋대로 상전 대접을 받은 터라 일단 열심히 뻗대고 보고 있다.,물 속성|얼음 속성,용감한 바다의 전사,함께 싸우는 동안 화염 속성 팰을 쓰러뜨렸을 때 드롭 아이템 획득량이 증가한다.,,0,1.0,L,6,95,525,70,95,95,100,100.0,1.0,50.0,520,5410.0,축축한 대형 알,CaptainPenguin,50.0,110,450,600.0,280.0,3912-4838,563-702,513-652,"Lv.1 아쿠아 샷(물 속성, 40파워, 4초) | Lv.7 빙산(얼음 속성, 70파워, 15초) | Lv.15 캡틴 슬라이딩(얼음 속성, 70파워, 10초) | Lv.22 서리 낀 입김(얼음 속성, 90파워, 22초) | Lv.30 물폭탄(물 속성, 100파워, 30초) | Lv.40 눈보라 스파이크(얼음 속성, 130파워, 45초) | Lv.50 하이드로 스트림(물 속성, 150파워, 55초)",7,,0,"빙결 기관(1-3, 100%) | 펭킹 날개 장식(1, 50%)",2,관개(LV.2) | 수작업(LV.2) | 채굴(LV.2) | 냉각(LV.2) | 운반(LV.2),5,얼어붙은 바다의 개척자 펭킹(Tribe Boss) | 펭킹(Tribe Normal),2,"얼어붙은 바다의 개척자 펭킹(Lv.15-15, World Map 311,-13) | 펭킹(Lv.18-22, 제1 사냥 금지 구역) | 펭킹(Lv.11-18, 낚시터 Small 4.95%)",3
11B,펭키드,수중 사냥에 도움이 되도록 전기의 힘을 얻어 색이 변화했으며 그 결과 펭키의 충성을 잃고 말았다. 그러나 어째서인지는 몰라도 이번에는 뎅키의 충성을 얻게 되었다.,물 속성|번개 속성,불굴의 전격 수장,함께 싸우는 동안 물 속성 팰을 쓰러뜨렸을 때 드롭 아이템 획득량이 증가한다.,,0,1.0,L,7,100,525,100,100,100,100,100.0,1.0,50.0,490,6490.0,축축한 대형 알,CaptainPenguin_Black,50.0,110,450,600.0,280.0,4075-5050,587-733,537-683,"Lv.1 번개 창(번개 속성, 30파워, 2초) | Lv.7 플라즈마 토네이도(번개 속성, 65파워, 13초) | Lv.15 버블 샷(물 속성, 65파워, 13초) | Lv.22 트라이 스파크(번개 속성, 110파워, 35초) | Lv.30 썬더 슬라이딩(번개 속성, 145파워, 35초) | Lv.40 아쿠아 서지(물 속성, 160파워, 56초) | Lv.50 번개 폭풍(번개 속성, 160파워, 60초)",7,,0,"발전 기관(1-3, 100%) | 펭킹 날개 장식(1, 50%)",2,관개(LV.2) | 발전(LV.2) | 수작업(LV.2) | 채굴(LV.2) | 운반(LV.2),5,까마득한 어둠의 개척자 펭키드(Tribe Boss) | 펭키드(Tribe Normal),2,"펭키드(Lv.21-34, 커다란 낚시터 Big 8.57%)",1
12,찌릿도치,"충격을 받으면 모았던 전기를 방출한다. 그 전압은 1,000만 볼트가 넘는다. 던지면 어설픈 중화기보다 더 위험하다.",번개 속성,찌르르 폭탄,발동하면 찌릿도치을 손에 장착하며 적에게 던져 착탄할 시 번개 폭발을 일으킨다.,찌릿도치 장갑,8,1.0,XS,1,70,150,70,75,70,100,100.0,1.2,50.0,1370,1060.0,찌릿찌릿한 알,Hedgehog,30.0,60,400,550.0,215.0,3100-3782,465-575,391-493,"Lv.1 전기 파장(번개 속성, 40파워, 4초) | Lv.7 파워 샷(무속성, 35파워, 4초) | Lv.15 번개 구체(번개 속성, 50파워, 9초) | Lv.22 파워 폭탄(무속성, 70파워, 15초) | Lv.30 트라이 썬더(번개 속성, 90파워, 22초) | Lv.40 라인 썬더(번개 속성, 75파워, 16초) | Lv.50 전기 볼트(번개 속성, 150파워, 55초)",7,,0,"발전 기관(1, 100%)",1,발전(LV.1),1,부딪치면 위험! 찌릿도치(Tribe Boss) | 찌릿도치(Tribe Normal) | 코치도치(Variant),3,"찌릿도치(Lv.3-6, 1_5_plain_pachiguri) | 부딪치면 위험! 찌릿도치(Lv.10-13, 구릉 동굴, 외딴 섬의 동굴) | 찌릿도치(Lv.6-9, 구릉 동굴, 외딴 섬의 동굴)",3
12B,코치도치,충격을 받으면 모았던 냉기를 방출한다. 방사상에 퍼진 냉기는 대기를 꽁꽁 얼려 습격해온 상대의 몸을 꿰뚫는다.,얼음 속성,딱딱 폭탄,발동하면 코치도치을 손에 장착하며 적에게 던져 착탄할 시 얼음 폭발을 일으킨다.,코치도치 장갑,11,1.0,XS,2,70,150,70,75,80,100,100.0,1.0,50.0,1360,1070.0,얼어붙은 알,Hedgehog_Ice,30.0,60,400,550.0,215.0,3100-3782,465-575,440-557,"Lv.1 얼음 미사일(얼음 속성, 30파워, 3초) | Lv.7 파워 샷(무속성, 35파워, 4초) | Lv.15 빙산(얼음 속성, 70파워, 15초) | Lv.22 파워 폭탄(무속성, 70파워, 15초) | Lv.30 얼음 칼날(얼음 속성, 55파워, 10초) | Lv.40 서리 낀 입김(얼음 속성, 90파워, 22초) | Lv.50 눈보라 스파이크(얼음 속성, 130파워, 45초)",7,,0,"빙결 기관(1, 100%)",1,냉각(LV.1),1,밟으면 위험! 코치도치(Tribe Boss) | 코치도치(Tribe Normal) | 찌릿도치(Variant),3,"코치도치(Lv.1-10, Captured Cage: Grass) | 코치도치(Lv.10-20, Captured Cage: Grass2)",2
13,초롱이,수액 같은 몸을 가진 신기한 팰. 뒤집어쓸 게 없으면 서서히 말라가다가 결국 썩어서 없어진다.,"풀,땅",나무꾼의 지원,보유하고 있는 동안 플레이어가 벌목할 때 피해량이 증가한다.,,0,1.0,XS,1,70,100,100,70,70,100,100.0,1.3,50.0,1240,1310.0,신록의 알,PlantSlime,50.0,50,300,400.0,175.0,3100-3782,441-543,391-493,"Lv.1 모래 돌풍(땅 속성, 40파워, 4초) | Lv.7 바람의 칼날(풀 속성, 30파워, 2초) | Lv.15 바위 폭발(땅 속성, 55파워, 10초) | Lv.22 씨앗 기관총(풀 속성, 50파워, 9초) | Lv.30 씨앗 지뢰(풀 속성, 65파워, 13초) | Lv.40 모래 폭풍(땅 속성, 80파워, 18초) | Lv.50 태양 폭발(풀 속성, 150파워, 55초)",7,,0,"열매 씨(1, 100%) | 초롱이 잎사귀(1, 50%)",2,파종(LV.1),1,갑자기 변이한 초롱이 | 초롱이,2,"초롱이(Lv. 3-5, 1_3_plain_kitsunbi) | 초롱이(Lv. 12-14, 1_15_plain_mopking) | 초롱이(Lv. 2-5, PvP_21_1_1) | 갑자기 변이한 초롱이(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 초롱이(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴)",5
13B,초롱이,수액 같은 몸을 가진 신기한 팰. 뒤집어쓸 게 없으면 서서히 말라가다가 결국 썩어서 없어진다.,"풀,땅",나무꾼의 지원,보유하고 있는 동안 플레이어가 벌목할 때 피해량이 증가한다.,,0,1.0,XS,10,70,100,100,70,70,100,100.0,1.3,50.0,1240,1310.0,신록의 거대한 알,PlantSlime_Flower,50.0,50,300,400.0,175.0,3100-3782,441-543,391-493,"Lv.1 모래 돌풍(땅 속성, 40파워, 4초) | Lv.7 바람의 칼날(풀 속성, 30파워, 2초) | Lv.15 바위 폭발(땅 속성, 55파워, 10초) | Lv.22 씨앗 기관총(풀 속성, 50파워, 9초) | Lv.30 씨앗 지뢰(풀 속성, 65파워, 13초) | Lv.40 모래 폭풍(땅 속성, 80파워, 18초) | Lv.50 태양 폭발(풀 속성, 150파워, 55초)",7,,0,"열매 씨(1, 100%) | 예쁜 꽃(3, 100%) | 초롱이 잎사귀(1, 50%)",3,파종(LV.1),1,갑자기 변이한 초롱이 | 초롱이,2,"초롱이(Lv. 3-5, 1_3_plain_kitsunbi) | 초롱이(Lv. 12-14, 1_15_plain_mopking) | 초롱이(Lv. 2-5, PvP_21_1_1)",3
14,미호,팰파고스섬의 아이돌. 미호를 괴롭히면 전 세계가 적으로 돌변한다.,무속성,여기를 파자,가축 목장에 배치하면 지면에서 아이템을 파내기도 한다.,,0,1.0,XS,2,70,100,70,70,70,100,140.0,1.3,50.0,1450,1000.0,평범한 알,CuteFox,30.0,60,350,450.0,190.0,3100-3782,441-543,391-493,"Lv.1 공기 대포(무속성, 25파워, 2초) | Lv.7 모래 돌풍(땅 속성, 40파워, 4초) | Lv.15 파워 샷(무속성, 35파워, 4초) | Lv.22 바람의 칼날(풀 속성, 30파워, 2초) | Lv.30 씨앗 기관총(풀 속성, 50파워, 9초) | Lv.40 파워 폭탄(무속성, 70파워, 15초) | Lv.50 팰 폭발(무속성, 150파워, 55초)",7,,0,"가죽(1, 100%) | 뼈(1, 100%)",2,채집(LV.1) | 목장(LV.1),2,초원의 아이돌 미호 | 미호,2,"미호(Lv. 3-6, 1_4_plain_fox) | 초원의 아이돌 미호(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 미호(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 미호(Lv. 1-10, Captured Cage: Grass) | 미호(Lv. 15-25, Captured Cage: Forest1)",5
15,아테노울,"근심에 잠기는 경우가 많아 머릿속이 복잡해 잠을 잘 자지 못한다. '나는 생각한다, 고로 존재한다'",어둠,어둠의 예지,보유하고 있는 동안 어둠 속성 팰의 공격력이 증가한다.,,0,1.0,XS,1,70,225,70,70,80,100,100.0,1.0,50.0,1390,1050.0,암흑의 알,WizardOwl,26.0,70,380,550.0,225.0,3100-3782,441-543,440-557,"Lv.1 공기 대포(무속성, 25파워, 2초) | Lv.7 암흑구(어둠 속성, 40파워, 4초) | Lv.15 그림자 폭발(어둠 속성, 55파워, 10초) | Lv.22 모래 폭풍(땅 속성, 80파워, 18초) | Lv.30 유령의 불꽃(어둠 속성, 75파워, 16초) | Lv.40 악몽의 구체(어둠 속성, 100파워, 30초) | Lv.50 어둠의 레이저(어둠 속성, 150파워, 55초)",7,,0,"섬유(5-10, 100%) | 고도의 기술서(1, 1%)",2,채집(LV.1),1,지혜의 전도사 아테노울 | 아테노울,2,"아테노울(Lv. 4-7, 1_1_plain_begginer) | 아테노울(Lv. 3-6, 1_2_plain_grass) | 아테노울(Lv. 3-6, 1_3_plain_kitsunbi) | 아테노울(Lv. 3-6, 1_4_plain_fox) | 아테노울(Lv. 3-7, 1_5_plain_pachiguri) | 아테노울(Lv. 3-7, 1_3_water) | 아테노울(Lv. 11-12, 1_3_water) | 아테노울(Lv. 8-12, 1_6_plain_Kirin) | 아테노울(Lv. 13-14, 1_7_plain_Pekodon) | 아테노울(Lv. 3-7, PvP_21_1_1) | 지혜의 전도사 아테노울(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 아테노울(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴)",12
16,차코리,코로 추정되는 기관에서 대량의 물이 나오는데 그냥 콧물이라는 지적도 있다. 연구자들 사이에 열띤 토론이 한창이다.,물,치유의 샤워,발동하면 상처에 잘 듣는 신비한 물을 뿜어 플레이어의 HP를 회복한다.,,0,1.0,M,1,70,150,70,60,70,100,100.0,1.3,50.0,1490,1000.0,축축한 알,Ganesha,30.0,60,300,400.0,180.0,3100-3782,392-480,391-493,"Lv.1 아쿠아 샷(물 속성, 40파워, 4초) | Lv.7 워터 제트(물 속성, 30파워, 2초) | Lv.15 모래 돌풍(땅 속성, 40파워, 4초) | Lv.22 버블 샷(물 속성, 65파워, 13초) | Lv.30 산성비(물 속성, 80파워, 18초) | Lv.40 물폭탄(물 속성, 100파워, 30초) | Lv.50 하이드로 스트림(물 속성, 150파워, 55초)",7,,0,"팰의 체액(1, 100%)",1,관개(LV.1),1,편리한 물뿌리개 차코리 | 차코리,2,"차코리(Lv. 1-4, 1_2_plain_grass) | 차코리(Lv. 2-4, 1_3_water) | 차코리(Lv. 2-5, PvP_21_2_1) | 편리한 물뿌리개 차코리(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 차코리(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 차코리(Lv. 15-25, Captured Cage: Forest1)",6
