Child,Parent1,Parent2
Tanzee,Hangyu,Cawgnito
Tanzee,Sparkit,Gobfin
Tanzee,Flambelle,Gobfin Ignis
Tanzee,Flambelle,Gobfin
Tanzee,Foxparks,Turtacle
Tanzee,Foxparks,Gobfin Ignis
Tanzee,Jellroy,Lunaris
Tanzee,Jellroy,Turtacle
Tanzee,Jellroy,Gobfin Ignis
Tanzee,Hoocrates,Dazzi Noct
Tanzee,Hoocrates,Lunaris
Tanzee,Hoocrates,Turtacle
Tanzee,Jelliette,Leezpunk
Tanzee,Jelliette,Dazzi Noct
Tanzee,Jelliette,Lunaris
Tanzee,Depresso,Kikit
Tanzee,Depresso,Leezpunk
Tanzee,Depresso,Dazzi Noct
Tanzee,Jolthog,Rushoar
Tanzee,Jolthog,Kikit
Tanzee,Jolthog Cryst,Leezpunk Ignis
Tanzee,Pengullet,Rooby
Tanzee,Pengullet,Maraith
Tanzee,Pengullet,Wixen Noct
Tanzee,Tocotoco,Wixen
Tanzee,Tocotoco,Rooby
Tanzee,Munchill,Wixen
Tanzee,Bristla,Nox
Tanzee,Pengullet Lux,Gloopie
Tanzee,Pengullet Lux,Woolipop
Tanzee,Ribbuny,Gloopie
Tanzee,Ribbuny,Woolipop
Tanzee,Foxparks Cryst,Mimog
Tanzee,Foxparks Cryst,Gloopie
Tanzee,Foxparks Cryst,Woolipop
Tanzee,Swee,Ribbuny Botan
Tanzee,Swee,Mimog
Tanzee,Swee,Gloopie
Tanzee,Finsider,Dazzi
Tanzee,Finsider,Ribbuny Botan
Tanzee,Finsider,Mimog
Tanzee,Fuack Ignis,Dazzi
Tanzee,Fuack Ignis,Ribbuny Botan
Tanzee,Killamari,Dazzi
Tanzee,Killamari,Ribbuny Botan
Tanzee,Flopie,Fuddler
Tanzee,Kelpsea Ignis,Daedream
Tanzee,Kelpsea,Smokie
Tanzee,Kelpsea,Gumoss
Tanzee,Finsider Ignis,Killamari Primo
Tanzee,Finsider Ignis,Tanzee
Tanzee,Finsider Ignis,Smokie
Tanzee,Finsider Ignis,Gumoss
Tanzee,Tanzee,Killamari Primo
Tanzee,Killamari Primo,Smokie
Tanzee,Killamari Primo,Tanzee
Tanzee,Tanzee,Tanzee
Tanzee,Tanzee,Smokie
Rooby,Chikipi,Dinossom Lux
Rooby,Chikipi,Loupmoon Cryst
Rooby,Teafant,Dinossom
Rooby,Teafant,Celesdir
Rooby,Mau,Kitsun
Rooby,Mau,Celaray Lux
Rooby,Mau,Tarantriss
Rooby,Lamball,Broncherry Aqua
Rooby,Lamball,Fenglope Lux
Rooby,Broncherry Aqua,Lamball
Rooby,Fenglope Lux,Lamball
Rooby,Cattiva,Digtoise
Rooby,Digtoise,Cattiva
Rooby,Cremis,Dumud Gild
Rooby,Cremis,Caprity Noct
Rooby,Cremis,Digtoise
Rooby,Vixy,Broncherry
Rooby,Vixy,Dumud Gild
Rooby,Vixy,Caprity Noct
Rooby,Herbil,Broncherry
Rooby,Mau Cryst,Celaray
Rooby,Lifmunk,Reindrix
Rooby,Hangyu Cryst,Melpaca
Rooby,Hangyu,Melpaca
Rooby,Sparkit,Eikthyrdeer Terra
Rooby,Sparkit,Dumud
Rooby,Flambelle,Lullu
Rooby,Flambelle,Eikthyrdeer Terra
Rooby,Foxparks,Mozzarina
Rooby,Foxparks,Lullu
Rooby,Jellroy,Mozzarina
Rooby,Hoocrates,Eikthyrdeer
Rooby,Jelliette,Eikthyrdeer
Rooby,Depresso,Caprity
Rooby,Jolthog,Lovander
Rooby,Jolthog Cryst,Loupmoon
Rooby,Jolthog Cryst,Yakumo
Rooby,Fuack,Fenglope
Rooby,Bristla,Verdash
Rooby,Pengullet Lux,Robinquill Terra
Rooby,Ribbuny,Robinquill Terra
Rooby,Foxparks Cryst,Robinquill Terra
Rooby,Swee,Felbat
Rooby,Finsider,Felbat
Rooby,Fuack Ignis,Robinquill
Rooby,Killamari,Robinquill
Rooby,Flopie,Galeclaw
Rooby,Flopie,Gorirat Terra
Rooby,Kelpsea Ignis,Gorirat
Rooby,Kelpsea,Vaelet
Rooby,Finsider Ignis,Vaelet
Rooby,Killamari Primo,Direhowl
Rooby,Tanzee,Direhowl
Rooby,Smokie,Turtacle Terra
Rooby,Smokie,Direhowl
Rooby,Gumoss,Beegarde
Rooby,Gumoss,Turtacle Terra
Rooby,Daedream,Cawgnito
Rooby,Fuddler,Gobfin
Rooby,Dazzi,Gobfin Ignis
Rooby,Ribbuny Botan,Turtacle
Rooby,Ribbuny Botan,Gobfin Ignis
Rooby,Mimog,Lunaris
Rooby,Mimog,Turtacle
Rooby,Gloopie,Dazzi Noct
Rooby,Gloopie,Lunaris
Rooby,Woolipop,Leezpunk
Rooby,Woolipop,Dazzi Noct
Rooby,Nox,Rushoar
Rooby,Nox,Kikit
Rooby,Wixen,Maraith
Rooby,Wixen,Wixen Noct
Rooby,Rooby,Rooby
Rooby,Rooby,Maraith
Rooby,Rooby,Wixen Noct
Pengullet,Chikipi,Dazzi
Pengullet,Chikipi,Ribbuny Botan
Pengullet,Chikipi,Mimog
Pengullet,Chikipi,Gloopie
Pengullet,Teafant,Fuddler
Pengullet,Teafant,Dazzi
Pengullet,Teafant,Ribbuny Botan
Pengullet,Mau,Daedream
Pengullet,Mau,Fuddler
Pengullet,Lamball,Smokie
Pengullet,Lamball,Gumoss
Pengullet,Lamball,Daedream
Pengullet,Smokie,Lamball
Pengullet,Gumoss,Lamball
Pengullet,Daedream,Lamball
Pengullet,Cattiva,Finsider Ignis
Pengullet,Cattiva,Killamari Primo
Pengullet,Cattiva,Tanzee
Pengullet,Cattiva,Smokie
Pengullet,Cattiva,Gumoss
Pengullet,Finsider Ignis,Cattiva
Pengullet,Killamari Primo,Cattiva
Pengullet,Tanzee,Cattiva
Pengullet,Smokie,Cattiva
Pengullet,Gumoss,Cattiva
Pengullet,Cremis,Kelpsea
Pengullet,Cremis,Finsider Ignis
Pengullet,Cremis,Killamari Primo
Pengullet,Cremis,Tanzee
Pengullet,Cremis,Smokie
Pengullet,Cremis,Gumoss
Pengullet,Vixy,Kelpsea
Pengullet,Vixy,Finsider Ignis
Pengullet,Vixy,Killamari Primo
Pengullet,Vixy,Tanzee
Pengullet,Vixy,Smokie
Pengullet,Herbil,Kelpsea Ignis
Pengullet,Herbil,Kelpsea
Pengullet,Herbil,Finsider Ignis
Pengullet,Herbil,Killamari Primo
Pengullet,Herbil,Tanzee
Pengullet,Mau Cryst,Kelpsea Ignis
Pengullet,Mau Cryst,Kelpsea
Pengullet,Mau Cryst,Finsider Ignis
Pengullet,Lifmunk,Flopie
Pengullet,Lifmunk,Kelpsea Ignis
Pengullet,Hangyu Cryst,Finsider
Pengullet,Hangyu Cryst,Fuack Ignis
Pengullet,Hangyu Cryst,Killamari
Pengullet,Hangyu Cryst,Flopie
Pengullet,Hangyu Cryst,Kelpsea Ignis
Pengullet,Hangyu,Finsider
Pengullet,Hangyu,Fuack Ignis
Pengullet,Hangyu,Killamari
Pengullet,Hangyu,Flopie
Pengullet,Sparkit,Foxparks Cryst
Pengullet,Sparkit,Swee
Pengullet,Sparkit,Finsider
Pengullet,Sparkit,Fuack Ignis
Pengullet,Sparkit,Killamari
Pengullet,Flambelle,Pengullet Lux
Pengullet,Flambelle,Ribbuny
Pengullet,Flambelle,Foxparks Cryst
Pengullet,Flambelle,Swee
Pengullet,Flambelle,Finsider
Pengullet,Flambelle,Fuack Ignis
Pengullet,Flambelle,Killamari
Pengullet,Foxparks,Pengullet Lux
Pengullet,Foxparks,Ribbuny
Pengullet,Foxparks,Foxparks Cryst
Pengullet,Foxparks,Swee
Pengullet,Foxparks,Finsider
Pengullet,Jellroy,Bristla
Pengullet,Jellroy,Pengullet Lux
Pengullet,Jellroy,Ribbuny
Pengullet,Jellroy,Foxparks Cryst
Pengullet,Jellroy,Swee
Pengullet,Hoocrates,Bristla
Pengullet,Hoocrates,Pengullet Lux
Pengullet,Hoocrates,Ribbuny
Pengullet,Hoocrates,Foxparks Cryst
Pengullet,Jelliette,Fuack
Pengullet,Jelliette,Bristla
Pengullet,Jelliette,Pengullet Lux
Pengullet,Jelliette,Ribbuny
Pengullet,Depresso,Munchill
Pengullet,Depresso,Fuack
Pengullet,Depresso,Bristla
Pengullet,Jolthog,Tocotoco
Pengullet,Jolthog,Munchill
Pengullet,Jolthog,Fuack
Pengullet,Jolthog Cryst,Pengullet
Pengullet,Jolthog Cryst,Tocotoco
Pengullet,Jolthog Cryst,Munchill
Pengullet,Pengullet,Pengullet
10B Penguin_Electric,Sparkit,Pengullet
10B Penguin_Electric,Pengullet Lux,Pengullet Lux
Penking,Gorirat,Bellanoir
Penking,Gorirat,Bellanoir Libero
Penking,Galeclaw,Blazamut
Penking,Galeclaw,Blazamut Ryu
Penking,Galeclaw,Bellanoir
Penking,Galeclaw,Bellanoir Libero
Penking,Gorirat Terra,Blazamut
Penking,Gorirat Terra,Blazamut Ryu
Penking,Gorirat Terra,Bellanoir
Penking,Gorirat Terra,Bellanoir Libero
Penking,Robinquill,Blazamut
Penking,Robinquill,Blazamut Ryu
Penking,Felbat,Suzaku Aqua
Penking,Robinquill Terra,Suzaku Aqua
Penking,Verdash,Suzaku
Penking,Fenglope,Shadowbeak
Penking,Fenglope,Suzaku
Penking,Loupmoon,Jetragon
Penking,Loupmoon,Neptilius
Penking,Loupmoon,Paladius
Penking,Yakumo,Jetragon
Penking,Yakumo,Neptilius
Penking,Lovander,Frostallion Noct
Penking,Lovander,Jetragon
Penking,Lovander,Neptilius
Penking,Caprity,Frostallion Noct
Penking,Eikthyrdeer,Frostallion
Penking,Mozzarina,Cryolinx
Penking,Mozzarina,Frostallion
Penking,Lullu,Cryolinx
Penking,Eikthyrdeer Terra,Orserk
Penking,Eikthyrdeer Terra,Cryolinx
Penking,Dumud,Orserk
Penking,Melpaca,Astegon
Penking,Melpaca,Orserk
Penking,Reindrix,Cryolinx Terra
Penking,Reindrix,Astegon
Penking,Celaray,Bastigor
Penking,Celaray,Cryolinx Terra
Penking,Broncherry,Helzephyr Lux
Penking,Broncherry,Bastigor
Penking,Dumud Gild,Helzephyr Lux
Penking,Caprity Noct,Helzephyr Lux
Penking,Digtoise,Helzephyr
Penking,Digtoise,Helzephyr Lux
Penking,Broncherry Aqua,Grizzbolt
Penking,Broncherry Aqua,Helzephyr
Penking,Fenglope Lux,Grizzbolt
Penking,Kitsun,Lyleen Noct
Penking,Kitsun,Grizzbolt
Penking,Celaray Lux,Lyleen Noct
Penking,Celaray Lux,Grizzbolt
Penking,Tarantriss,Silvegis
Penking,Tarantriss,Lyleen Noct
Penking,Dinossom,Beakon
Penking,Dinossom,Silvegis
Penking,Dinossom,Lyleen Noct
Penking,Celesdir,Beakon
Penking,Celesdir,Silvegis
Penking,Dinossom Lux,Reptyro Cryst
Penking,Dinossom Lux,Beakon
Penking,Loupmoon Cryst,Reptyro Cryst
Penking,Chillet,Pyrin Noct
Penking,Chillet,Reptyro Cryst
Penking,Croajiro,Faleris Aqua
Penking,Croajiro,Pyrin Noct
Penking,Arsox,Lyleen
Penking,Arsox,Menasting Terra
Penking,Arsox,Faleris Aqua
Penking,Arsox,Pyrin Noct
Penking,Chillet Ignis,Lyleen
Penking,Chillet Ignis,Menasting Terra
Penking,Chillet Ignis,Faleris Aqua
Penking,Chillet Ignis,Pyrin Noct
Penking,Petallia,Menasting
Penking,Petallia,Lyleen
Penking,Petallia,Menasting Terra
Penking,Croajiro Noct,Warsect Terra
Penking,Croajiro Noct,Relaxaurus Lux
Penking,Croajiro Noct,Knocklem
Penking,Croajiro Noct,Xenolord
Penking,Foxcicle,Relaxaurus
Penking,Foxcicle,Warsect Terra
Penking,Foxcicle,Relaxaurus Lux
Penking,Prunelia,Relaxaurus
Penking,Prunelia,Warsect Terra
Penking,Tombat,Mammorest Cryst
Penking,Tombat,Relaxaurus
Penking,Polapup,Mammorest Cryst
Penking,Rayhound,Mammorest
Penking,Rayhound,Mammorest Cryst
Penking,Kitsun Noct,Mammorest
Penking,Shroomer Noct,Jormuntide
Penking,Shroomer Noct,Mammorest
Penking,Splatterina,Jormuntide Ignis
Penking,Splatterina,Jormuntide
Penking,Shroomer,Reptyro
Penking,Shroomer,Jormuntide Ignis
Penking,Shroomer,Jormuntide
Penking,Blazehowl,Elizabee
Penking,Blazehowl,Reptyro
Penking,Nitemary,Braloha
Penking,Nitemary,Elizabee
Penking,Katress,Warsect
Penking,Katress,Quivern Botan
Penking,Katress,Braloha
Penking,Katress,Elizabee
Penking,Katress Ignis,Quivern
Penking,Katress Ignis,Selyne
Penking,Katress Ignis,Warsect
Penking,Katress Ignis,Quivern Botan
Penking,Univolt,Pyrin
Penking,Univolt,Prixter
Penking,Univolt,Quivern
Penking,Dazemu,Starryon
Penking,Dazemu,Pyrin
Penking,Dazemu,Prixter
Penking,Blazehowl Noct,Faleris
Penking,Blazehowl Noct,Starryon
Penking,Blazehowl Noct,Pyrin
Penking,Dogen,Faleris
Penking,Dogen,Starryon
Penking,Vanwyrm,Ragnahawk
Penking,Vanwyrm,Faleris
Penking,Frostplume,Ragnahawk
Penking,Bushi Noct,Mossanda Lux
Penking,Bushi Noct,Ragnahawk
Penking,Nyafia,Mossanda Lux
Penking,Bushi,Azurmane
Penking,Bushi,Mossanda Lux
Penking,Omascul,Sweepa
Penking,Omascul,Azurmane
Penking,Vanwyrm Cryst,Nitewing
Penking,Vanwyrm Cryst,Sweepa
Penking,Icelyn,Xenogard
Penking,Icelyn,Mossanda
Penking,Icelyn,Whalaska Ignis
Penking,Incineram,Sibelyx
Penking,Incineram,Whalaska
Penking,Incineram,Kingpaca Cryst
Penking,Incineram Noct,Wumpo
Penking,Incineram Noct,Palumba
Penking,Incineram Noct,Sibelyx
Penking,Anubis,Kingpaca
Penking,Anubis,Xenovader
Penking,Anubis,Wumpo
Penking,Surfent,Azurobe Cryst
Penking,Surfent,Wumpo Botan
Penking,Surfent,Kingpaca
Penking,Surfent Terra,Penking Lux
Penking,Surfent Terra,Cinnamoth
Penking,Surfent Terra,Azurobe Cryst
Penking,Surfent Terra,Wumpo Botan
Penking,Sootseer,Penking Lux
Penking,Sootseer,Cinnamoth
Penking,Elphidran,Azurobe
Penking,Elphidran,Penking Lux
Penking,Elphidran,Cinnamoth
Penking,Elphidran Aqua,Grintale
Penking,Elphidran Aqua,Gildane
Penking,Elphidran Aqua,Ghangler Ignis
Penking,Elphidran Aqua,Azurobe
Penking,Ghangler,Grintale
Penking,Ghangler,Gildane
Penking,Ghangler,Ghangler Ignis
Penking,Penking,Penking
Penking,Penking,Grintale
11B CaptainPenguin_Black,Rayhound,Penking
11B CaptainPenguin_Black,Penking Lux,Penking Lux
Jolthog,Chikipi,Killamari Primo
Jolthog,Chikipi,Tanzee
Jolthog,Chikipi,Smokie
Jolthog,Chikipi,Gumoss
Jolthog,Chikipi,Daedream
Jolthog,Chikipi,Fuddler
Jolthog,Teafant,Kelpsea
Jolthog,Teafant,Finsider Ignis
Jolthog,Teafant,Killamari Primo
Jolthog,Teafant,Tanzee
Jolthog,Teafant,Smokie
Jolthog,Teafant,Gumoss
Jolthog,Teafant,Daedream
Jolthog,Mau,Kelpsea Ignis
Jolthog,Mau,Kelpsea
Jolthog,Mau,Finsider Ignis
Jolthog,Mau,Killamari Primo
Jolthog,Mau,Tanzee
Jolthog,Mau,Smokie
Jolthog,Mau,Gumoss
Jolthog,Lamball,Flopie
Jolthog,Lamball,Kelpsea Ignis
Jolthog,Lamball,Kelpsea
Jolthog,Lamball,Finsider Ignis
Jolthog,Lamball,Killamari Primo
Jolthog,Lamball,Tanzee
Jolthog,Flopie,Lamball
Jolthog,Kelpsea Ignis,Lamball
Jolthog,Kelpsea,Lamball
Jolthog,Finsider Ignis,Lamball
Jolthog,Killamari Primo,Lamball
Jolthog,Tanzee,Lamball
Jolthog,Cattiva,Fuack Ignis
Jolthog,Cattiva,Killamari
Jolthog,Cattiva,Flopie
Jolthog,Cattiva,Kelpsea Ignis
Jolthog,Cattiva,Kelpsea
Jolthog,Fuack Ignis,Cattiva
Jolthog,Killamari,Cattiva
Jolthog,Flopie,Cattiva
Jolthog,Kelpsea Ignis,Cattiva
Jolthog,Kelpsea,Cattiva
Jolthog,Cremis,Finsider
Jolthog,Cremis,Fuack Ignis
Jolthog,Cremis,Killamari
Jolthog,Cremis,Flopie
Jolthog,Cremis,Kelpsea Ignis
Jolthog,Vixy,Swee
Jolthog,Vixy,Finsider
Jolthog,Vixy,Fuack Ignis
Jolthog,Vixy,Killamari
Jolthog,Vixy,Flopie
Jolthog,Vixy,Kelpsea Ignis
Jolthog,Herbil,Foxparks Cryst
Jolthog,Herbil,Swee
Jolthog,Herbil,Finsider
Jolthog,Herbil,Fuack Ignis
Jolthog,Herbil,Killamari
Jolthog,Herbil,Flopie
Jolthog,Mau Cryst,Pengullet Lux
Jolthog,Mau Cryst,Ribbuny
Jolthog,Mau Cryst,Foxparks Cryst
Jolthog,Mau Cryst,Swee
Jolthog,Mau Cryst,Finsider
Jolthog,Mau Cryst,Fuack Ignis
Jolthog,Mau Cryst,Killamari
Jolthog,Mau Cryst,Flopie
Jolthog,Lifmunk,Bristla
Jolthog,Lifmunk,Pengullet Lux
Jolthog,Lifmunk,Ribbuny
Jolthog,Lifmunk,Foxparks Cryst
Jolthog,Lifmunk,Swee
Jolthog,Lifmunk,Finsider
Jolthog,Lifmunk,Fuack Ignis
Jolthog,Lifmunk,Killamari
Jolthog,Hangyu Cryst,Bristla
Jolthog,Hangyu Cryst,Pengullet Lux
Jolthog,Hangyu Cryst,Ribbuny
Jolthog,Hangyu Cryst,Foxparks Cryst
Jolthog,Hangyu Cryst,Swee
Jolthog,Hangyu,Fuack
Jolthog,Hangyu,Bristla
Jolthog,Hangyu,Pengullet Lux
Jolthog,Hangyu,Ribbuny
Jolthog,Hangyu,Foxparks Cryst
Jolthog,Sparkit,Tocotoco
Jolthog,Sparkit,Munchill
Jolthog,Sparkit,Fuack
Jolthog,Sparkit,Bristla
Jolthog,Sparkit,Pengullet Lux
Jolthog,Sparkit,Ribbuny
Jolthog,Flambelle,Tocotoco
Jolthog,Flambelle,Munchill
Jolthog,Flambelle,Bristla
Jolthog,Foxparks,Pengullet
Jolthog,Foxparks,Tocotoco
Jolthog,Foxparks,Munchill
Jolthog,Foxparks,Fuack
Jolthog,Foxparks,Bristla
Jolthog,Jellroy,Pengullet
Jolthog,Jellroy,Tocotoco
Jolthog,Jellroy,Munchill
Jolthog,Jellroy,Fuack
Jolthog,Hoocrates,Jolthog Cryst
Jolthog,Hoocrates,Pengullet
Jolthog,Hoocrates,Tocotoco
Jolthog,Hoocrates,Munchill
Jolthog,Hoocrates,Fuack
Jolthog,Jelliette,Jolthog Cryst
Jolthog,Jelliette,Pengullet
Jolthog,Jelliette,Tocotoco
Jolthog,Jelliette,Munchill
Jolthog,Depresso,Jolthog
Jolthog,Depresso,Jolthog Cryst
Jolthog,Depresso,Pengullet
Jolthog,Depresso,Tocotoco
Jolthog,Jolthog,Jolthog
Jolthog,Jolthog,Jolthog Cryst
12B Jolthog Cryst,Jolthog,Pengullet
12B Jolthog Cryst,Jolthog Cryst,Jolthog Cryst
Gumoss,Chikipi,Fenglope
Gumoss,Teafant,Verdash
Gumoss,Mau,Robinquill Terra
Gumoss,Lamball,Felbat
Gumoss,Felbat,Lamball
Gumoss,Cattiva,Robinquill
Gumoss,Robinquill,Cattiva
Gumoss,Cremis,Robinquill
Gumoss,Vixy,Galeclaw
Gumoss,Vixy,Gorirat Terra
Gumoss,Herbil,Galeclaw
Gumoss,Herbil,Gorirat Terra
Gumoss,Mau Cryst,Gorirat
Gumoss,Lifmunk,Vaelet
Gumoss,Hangyu Cryst,Direhowl
Gumoss,Hangyu Cryst,Vaelet
Gumoss,Hangyu,Direhowl
Gumoss,Sparkit,Beegarde
Gumoss,Sparkit,Turtacle Terra
Gumoss,Flambelle,Beegarde
Gumoss,Foxparks,Cawgnito
Gumoss,Jellroy,Cawgnito
Gumoss,Hoocrates,Gobfin
Gumoss,Jelliette,Gobfin
Gumoss,Depresso,Gobfin Ignis
Gumoss,Jolthog,Lunaris
Gumoss,Jolthog,Turtacle
Gumoss,Jolthog Cryst,Leezpunk
Gumoss,Jolthog Cryst,Dazzi Noct
Gumoss,Pengullet,Rushoar
Gumoss,Pengullet,Kikit
Gumoss,Tocotoco,Leezpunk Ignis
Gumoss,Munchill,Leezpunk Ignis
